Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
MARVIN SAMSON FOUNDATION,22-6943216,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,570705.0,717598.0,
ROBERTS CHARITABLE FOUNDATION TR 2003,22-6948512,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,643601.0,515252.0,
BRUCE AND MELISSA FISCHER FAMILY FOUNDATION,22-6966373,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,672757.0,599741.0,
SOCIETY OF TOXICOLOGIC PATHOLOGY,22-7134561,"Medical Disciplines (G97Z) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,907624.0,792870.0,114754.0
AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,23-0341915,"Political Science (Social Science Research Institutes, Services)",Yes,2020.0,636078.0,567648.0,68430.0
CHAMBERSBURG HOSPITAL,23-0465970,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,336742076.0,350197961.0,
CHESTER COUNTY HOSPITAL,23-0469150,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,355299241.0,379159396.0,
THE GOOD SAMARITAN HOSPITAL OF LEBANON PENNSYLVANIA,23-0794160,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,232811350.0,237241910.0,
UNITED WAY OF SOUTHERN CHESTER COUNTY,23-1260899,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1251331.0,1173816.0,77515.0
DRUG AND ALCOHOL REHABILITATION SERVICE INC,23-1289242,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,2548912.0,3064694.0,
LANCASTER CLEFT PALATE CLINIC,23-1306888,"Birth Defects and Genetic Diseases (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,3142422.0,2193318.0,949104.0
ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,23-1352000,"Physical Sciences, Earth Sciences Research and Promotion (Science and Technology Research Institutes, Services)",Yes,2020.0,16101450.0,20968377.0,
AMERICAN SOCIETY FOR TESTING AND MATERIALS,23-1352024,"Engineering and Technology Research, Services (Science and Technology Research Institutes, Services)",Yes,2020.0,96492872.0,82051654.0,14441218.0
UNITED WAY OF THE CAPITAL REGION,23-1352095,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,11704239.0,10846525.0,857714.0
MERCY HOME HEALTH,23-1352099,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,93547410.0,83662605.0,9884805.0
EAGLEVILLE HOSPITAL,23-1352115,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,39717004.0,40898764.0,
ABINGTON MEMORIAL HOSPITAL,23-1352152,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,866047638.0,914359404.0,
THE AMERICAN ONCOLOGIC HOSPITAL,23-1352156,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,415428111.0,437332941.0,
J C BLAIR MEMORIAL HOSPITAL,23-1352159,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,52978898.0,47803407.0,5175491.0
MAIN LINE HOSPITALS INC,23-1352160,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,1318786272.0,1330266517.0,
PARTNERSHIP FOR BETTER HEALTH,23-1352161,Community Health Systems (Health — General and Rehabilitative),Yes,2021.0,3866688.0,2950771.0,915917.0
THE CHILDRENS HOSPITAL OF PHILADELPHIA,23-1352166,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,2624512681.0,2460965576.0,163547105.0
DOYLESTOWN HOSPITAL,23-1352174,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,326544304.0,316587781.0,9956523.0
HEALTHSPARK FOUNDATION,23-1352175,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1000144.0,2298055.0,
THOMAS SCATTERGOOD BEHAVIORAL HEALTH FOUNDATION,23-1352178,"Hospital, General (Health — General and Rehabilitative)",Yes,2021.0,2341549.0,3328852.0,
GRAND VIEW HOSPITAL,23-1352181,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,208801499.0,209160498.0,
GEISINGER-LEWISTOWN HOSPITAL,23-1352187,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,80004617.0,69972012.0,10032605.0
LEHIGH VALLEY HOSPITAL - SCHUYKILL,23-1352202,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,134562631.0,132124073.0,2438558.0
ST LUKES QUAKERTOWN HOSPITAL,23-1352203,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,91990585.0,102261654.0,
READING HOSPITAL,23-1352204,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,1035019113.0,971538717.0,63480396.0
ST JOSEPH REGIONAL HEALTH NETWORK,23-1352211,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,261470847.0,287935558.0,
ST LUKES HOSPITAL,23-1352213,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,982677854.0,941872058.0,40805796.0
GETTYSBURG HOSPITAL,23-1352220,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,264698491.0,240497782.0,24200709.0
YORK HOSPITAL,23-1352222,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,1205421553.0,1174348321.0,31073232.0
SIMPSON HOUSE INC,23-1352227,Nursing Services (General) (Health — General and Rehabilitative),Yes,2020.0,20128770.0,25467923.0,
NATIONAL BOARD OF MEDICAL EXAMINERS,23-1352238,"Professional Societies, Associations (Health — General and Rehabilitative)",Yes,2020.0,147961859.0,158761733.0,
VISION RESOURCES OF CENTRAL PENNSYLVANIA,23-1352259,"Eye Diseases, Blindness and Vision Impairments (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,1994973.0,1491939.0,503034.0
EASTER SEALS OF SOUTHEASTERN PENNSYLVANIA,23-1352293,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,19104842.0,19406349.0,
HMS SCHOOL FOR CHILDREN WITH CEREBRAL PALSY,23-1352327,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,10737635.0,10477135.0,260500.0
PLANNED PARENTHOOD SOUTHEASTERN PA,23-1352509,Family Planning Centers (Health — General and Rehabilitative),Yes,2020.0,16172267.0,19336989.0,
VISITING NURSE SOCIETY OF PHILADELPHIA,23-1352575,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,779889.0,1145074.0,
WORLD AFFAIRS COUNCIL OF PHILADELPHIA,23-1352586,"Research Institutes and/or Public Policy Analysis (International, Foreign Affairs and National Security)",Yes,2020.0,1075500.0,1565000.0,
JEWISH COMMUNITY FOUNDATION OF CENTRAL PENNSYLVANIA,23-1352587,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2379294.0,1711474.0,667820.0
AMERICAN SCHOOLS OF ORIENTAL RESEARCH,23-1352617,"Interdisciplinary Research (Social Science Research Institutes, Services)",Yes,2020.0,2412826.0,1158051.0,1254775.0
CARSON VALLEY CHILDRENS AID,23-1352623,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,26133135.0,30201519.0,
KIDSPEACE CORPORATION,23-1353394,"Management & Technical Assistance (Mental Health, Crisis Intervention)",Yes,2020.0,31196348.0,29255198.0,1941150.0
WAYNESBORO HOSPITAL,23-1360854,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,71665077.0,93930790.0,
HOME FOR THE FRIENDLESS,23-1365148,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,34049335.0,33412184.0,637151.0
BUCKS COUNTY ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED,23-1365195,"Eye Diseases, Blindness and Vision Impairments (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,1078960.0,908171.0,170789.0
EPISCOPAL HOSPITAL,23-1365351,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,8007148.0,2914520.0,5092628.0
LANCASTER GENERAL HOSPITAL,23-1365353,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,1165945163.0,1081827973.0,84117190.0
SCHREIBER CENTER FOR PEDIATRIC DEVELOPMENT,23-1365369,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2021.0,5888978.0,5352683.0,536295.0
EPHRATA COMMUNITY HOSPITAL,23-1370484,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,225375052.0,241823461.0,
GOOD SHEPHERD REHABILITATION HOSP,23-1371947,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,80348113.0,89158547.0,
BERKS COUNTY ASSOCIATION FOR THE BLIND INC,23-1381374,"Eye Diseases, Blindness and Vision Impairments (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,531433.0,381398.0,150035.0
KENSINGTON HOSPITAL,23-1381447,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,6981074.0,6709519.0,271555.0
DEVEREUX FOUNDATION,23-1390618,"Research Institutes and/or Public Policy Analysis (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,519709316.0,512659877.0,7049439.0
VNA FOUNDATION OF GREATER NORTH PENN,23-1396799,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2021.0,982611.0,1272421.0,
PHOEBE DEVITT HOMES,23-1396838,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,3843908.0,1266924.0,2576984.0
BLAIR CLEARFIELD ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED,23-1401537,"Eye Diseases, Blindness and Vision Impairments (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,714502.0,603244.0,111258.0
FULTON COUNTY MEDICAL CENTER,23-1401561,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,59395125.0,59970927.0,
UNITED WAY OF BUCKS COUNTY,23-1409706,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5751623.0,5409888.0,341735.0
MENTAL HEALTH ASSOCIATION IN PENNSYLVANIA,23-1411212,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,904714.0,957724.0,
HORIZON HOUSE INC,23-1413304,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,13115472.0,12966906.0,148566.0
AMERICAN BOARD OF PEDIATRICS INC,23-1417504,"Pediatrics (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,43253063.0,35408557.0,7844506.0
MENTAL HEALTH PARTNERSHIPS,23-1425035,"Professional Societies, Associations (Mental Health, Crisis Intervention)",Yes,2020.0,17175316.0,17969861.0,
HATFIELD MENNONITE HOME,23-1429826,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,20190902.0,19021009.0,1169893.0
TYRONE HOSPITAL,23-1440116,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,27732100.0,24114895.0,3617205.0
AVENUES,23-1458007,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,7228048.0,8035802.0,
INSTITUTES FOR THE ACHIEVEMENT OF HUMAN POTENTIAL,23-1465452,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,2053457.0,3428473.0,
UNITED WAY OF LEBANON COUNTY INC,23-1465632,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1105845.0,1074053.0,31792.0
TOWER HEALTH AT HOME-BERKS,23-1466250,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,12601421.0,12715169.0,
THE COMMUNITY AT ROCKHILL,23-1472520,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,18961563.0,18408339.0,553224.0
MAGEE REHABILITATION HOSPITAL,23-1476328,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,63715771.0,73306853.0,
MESSIAH FAMILY SERVICES,23-1484171,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2021.0,1499783.0,1230399.0,269384.0
CHILD GUIDANCE RESOURCE CENTERS INC,23-1490061,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,26001688.0,25811798.0,189890.0
SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS,23-1496016,"Mathematics (Science and Technology Research Institutes, Services)",Yes,2020.0,12089556.0,10934876.0,1154680.0
PENN FOUNDATION INC,23-1496225,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,27700736.0,28697305.0,
JEWISH FEDERATION OF GREATER PHILADELPHIA,23-1500085,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,75742201.0,60206678.0,15535523.0
PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,23-1512747,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,326188059.0,296060776.0,30127283.0
LIONS EYE BANK OF DELAWARE VALLEY,23-1513699,"Eye Diseases, Blindness and Vision Impairments (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,3721628.0,3827168.0,
CREATIVE HEALTH SERVICES INC,23-1522060,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,27050572.0,22649927.0,4400645.0
GREATER READING MENTAL HEALTH ALLIANCE,23-1522636,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,1598002.0,1355258.0,242744.0
RIDDLE MEMORIAL HOSPITAL,23-1529076,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,194363433.0,210878616.0,
JENNERS POND INC,23-1548106,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,24935898.0,26852799.0,
PHILHAVEN,23-1548822,"Psychiatric, Mental Health Hospital (Mental Health, Crisis Intervention)",Yes,2020.0,86297080.0,89476880.0,
DEBORAH HEART & LUNG CENTER,23-1550955,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,208387361.0,202277820.0,6109541.0
UNITED WAY OF CARLISLE & CUMBERLAND COUNTY,23-1552261,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,2007395.0,1962188.0,45207.0
EASTERN PENNSYLVANIA BLEEDING DISORDERS FOUNDATION,23-1567876,"Birth Defects, Genetic Diseases Research (H21Z) (Medical Research)",Yes,2020.0,515400.0,468414.0,46986.0
CARELINK COMMUNITY SUPPORT SERVICES OF PA INC,23-1573806,"Psychiatric, Mental Health Hospital (Mental Health, Crisis Intervention)",Yes,2020.0,20188729.0,19693016.0,495713.0
MENTAL HEALTH AMERICA OF YORK AND ADAMS COUNTIES,23-1576691,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,647996.0,615305.0,32691.0
PHILADELPHIA FOUNDATION,23-1581832,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,77874752.0,88811151.0,
WILLIAM H DONNER FOUNDATION INC,23-1611346,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,27539259.0,13516937.0,
CENTRAL PENNSYLVANIA BLOOD BANK,23-1639036,Blood Supply Related (Health — General and Rehabilitative),Yes,2020.0,16521361.0,16528760.0,
DEVELOPMENTAL AND DISABILITY SERVICES OF LEBANON VALLEY,23-1645462,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,940437.0,867937.0,72500.0
UNIVERSITY CITY SCIENCE CENTER,23-1645908,"Research Institutes and/or Public Policy Analysis (Science and Technology Research Institutes, Services)",Yes,2020.0,21686205.0,21474227.0,211978.0
UNITED WAY OF BERKS COUNTY,23-1655375,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,21924109.0,11247083.0,10677026.0
EMERGENCY CARE RESEARCH INSTITUTE,23-1662091,Health Support Services (E64E) (Health — General and Rehabilitative),Yes,2020.0,69793377.0,73559385.0,
LIVENGRIN FOUNDATION INC,23-1668916,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,15777871.0,14863743.0,914128.0
UNITED WAY OF PENNSYLVANIA,23-1672348,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2565801.0,2457302.0,108499.0
CARBON COUNTY ACTION COMMITTEE FOR HUMAN SERVICES,23-1673781,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,879849.0,885937.0,
THE ARC OF LEHIGH AND NORTHAMPTON COUNTIES INC,23-1679102,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2021.0,17283772.0,17016041.0,267731.0
FAIRMOUNT HOMES,23-1680874,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,20838870.0,19126155.0,1712715.0
AMERICAN SOCIETY FOR CLINICAL PHARMACOLOGY & THERAPEUTICS,23-1682043,Health Support Services (E66Z) (Health — General and Rehabilitative),Yes,2020.0,2105682.0,2668717.0,
SPECTRUM HEALTH SERVICE INC,23-1686225,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,17683542.0,15249031.0,2434511.0
LEHIGH VALLEY COMMUNITY FOUNDATION,23-1686634,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,8242438.0,7904884.0,337554.0
UNITED DISABILITIES SERVICES,23-1687320,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,15876640.0,15506682.0,369958.0
LEHIGH VALLEY HOSPITAL,23-1689692,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,2200108111.0,2082138746.0,117969365.0
GREATER SUSQUEHANNA VALLEY UNITED WAY,23-1697631,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2179194.0,1315224.0,863970.0
WYOMING COUNTY UNITED WAY INC,23-1702298,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,568075.0,594537.0,
GAUDENZIA INC,23-1706895,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,95729483.0,97729296.0,
COLONIAL HOUSE INC,23-1713846,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2021.0,2342467.0,2205784.0,136683.0
AMERICAN COLLEGE OF PREVENTIVE MEDICINE INC,23-1722119,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,3789157.0,3707248.0,81909.0
JCPDS INTERNATIONAL CENTRE FOR DIFFRACTION DATA,23-1722541,"Geology (Science and Technology Research Institutes, Services)",Yes,2020.0,8506684.0,9075680.0,
W-HOUSE OF HAGERSTOWN FOUNDATION INC,23-1727212,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,1961953.0,945152.0,1016801.0
NORTHEAST TREATMENT CENTERS INC,23-1728478,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,44235091.0,44564297.0,
RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA,23-1729755,"Health Treatment Facilities, Primarily Outpatient (E39Z) (Health — General and Rehabilitative)",Yes,2020.0,6979374.0,8138633.0,
HCSC BLOOD CENTER,23-1731796,Blood Supply Related (Health — General and Rehabilitative),Yes,2021.0,35597485.0,30597559.0,4999926.0
FOREIGN POLICY RESEARCH INSTITUTE,23-1731998,"Research Institutes and/or Public Policy Analysis (International, Foreign Affairs and National Security)",Yes,2020.0,2433018.0,2354548.0,78470.0
THERAPEUTIC CENTER AT FOX CHASE,23-1735837,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,7188126.0,7285649.0,
THE AURORA CLUB,23-1739500,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,714201.0,734547.0,
WEST PHILADELPHIA COMMUNITY MENTAL HEALTH CONSORTIUM INC,23-1744721,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,19932466.0,22557777.0,
TREATMENT TRENDS INC,23-1856007,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,7127393.0,7182933.0,
MATERNAL & FAMILY HEALTH SERVICES INC,23-1856766,Reproductive Health Care Facilities and Allied Services (Health — General and Rehabilitative),Yes,2020.0,14569818.0,13995536.0,574282.0
COUNCIL ON CHEMICAL ABUSE INC,23-1858138,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,11045640.0,10833005.0,212635.0
HAMILTON HEALTH CENTER INC,23-1858363,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,28116970.0,28017017.0,99953.0
NORTHEAST COUNSELING SERVICES,23-1877525,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,14514556.0,13988753.0,525803.0
ACCESSMATTERS,23-1878446,Family Planning Centers (Health — General and Rehabilitative),Yes,2020.0,15251869.0,15162036.0,89833.0
PENNCARES,23-1878861,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,3468992.0,3683085.0,
MERAKEY DELAWARE COUNTY,23-1887233,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,21485379.0,22147826.0,
MONTGOMERY COUNTY MH-MR EMERGENCY SERVICE,23-1894907,"Psychiatric, Mental Health Hospital (Mental Health, Crisis Intervention)",Yes,2020.0,16687613.0,16803501.0,
LEBANON FAMILY HEALTH SERVICES INC,23-1900450,Family Planning Centers (Health — General and Rehabilitative),Yes,2021.0,2167267.0,1632212.0,535055.0
SHALOM INC,23-1900919,"Alcohol, Drug Abuse, Prevention Only (Mental Health, Crisis Intervention)",Yes,2020.0,657367.0,647876.0,9491.0
LIBERTAE INCORPORATED,23-1901275,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,3462530.0,3672254.0,
JDRF INTERNATIONAL,23-1907729,"Specifically Named Diseases (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,212602450.0,192605651.0,19996799.0
WOAR PHILADELPHIA CENTER AGAINST SEXUAL VIOLENCE,23-1909487,"Rape Victim Services (Mental Health, Crisis Intervention)",Yes,2020.0,2679301.0,2560015.0,119286.0
WELSH MOUNTAIN HEALTH CENTERS,23-1909490,"Health Treatment Facilities, Primarily Outpatient (E34Z) (Health — General and Rehabilitative)",Yes,2020.0,9907465.0,9667160.0,240305.0
PENNDEL MENTAL HEALTH CENTER INC,23-1913286,"Psychiatric, Mental Health Hospital (Mental Health, Crisis Intervention)",Yes,2020.0,11737817.0,11683970.0,53847.0
LENAPE VALLEY FOUNDATION,23-1914438,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,21373838.0,23364648.0,
COMMUNITY INTERVENTION CENTER OF LACKAWANNA COUNTY,23-1941321,"Hot Line, Crisis Intervention Services (Mental Health, Crisis Intervention)",Yes,2020.0,980814.0,925313.0,55501.0
HAVEN HOUSE,23-1941559,"Psychiatric, Mental Health Hospital (Mental Health, Crisis Intervention)",Yes,2020.0,4516340.0,3726899.0,789441.0
BAYADA HOME HEALTH CARE INC,23-1943113,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,1442704152.0,1365315804.0,77388348.0
SUSQUEHANNA TOWNSHIP EMERGENCY MEDICAL SERVICES INC,23-1966522,Health Support Services (E63Z) (Health — General and Rehabilitative),Yes,2020.0,1780813.0,1993314.0,
WIVES SELF HELP FOUNDATION INC 205 SMYLIE TIMES BLDG,23-1969770,"Counseling, Support Groups (Mental Health, Crisis Intervention)",Yes,2021.0,540832.0,452557.0,88275.0
THE COUNCIL OF SOUTHEAST PENNSYLVANIA INC,23-1972816,"Alcohol, Drug Abuse, Prevention Only (Mental Health, Crisis Intervention)",Yes,2020.0,6377032.0,6651832.0,
A WOMANS CONCERN INC,23-1978059,Reproductive Health Care Facilities and Allied Services (Health — General and Rehabilitative),Yes,2020.0,648532.0,597339.0,51193.0
SELF HELP MOVEMENT INC,23-1985315,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2021.0,9644455.0,9194311.0,450144.0
ADDICTION MEDICINE AND HEALTH ADVOCATES INCORPORATED,23-1985721,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,3044604.0,3049494.0,
O A P INC,23-1986931,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,530501.0,281974.0,248527.0
CASA GUADALUPE CENTER,23-1988203,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2021.0,1503970.0,1288701.0,215269.0
EASTERN PENNSYLVANIA EMERGENCY MEDICAL SERVICES COUNCIL,23-1988814,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,1360429.0,1434498.0,
PHILLIES CHARITIES INC,23-1994699,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,637483.0,707742.0,
GEISINGER HEALTH,23-1995911,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,90385194.0,11276022.0,79109172.0
GEISINGER WYOMING VALLEY MEDICAL CENTER,23-1996150,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,387450995.0,310450572.0,77000423.0
JEWISH HOME OF GREATER HARRISBURG,23-1999945,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,16997310.0,17637526.0,
DELAWARE TOWNSHIP VOLUNTEER AMBULANCE CORPS INC,23-2000910,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",No,2020.0,703464.0,351369.0,352095.0
FOX CHASE CANCER CENTER FOUNDATION,23-2003072,Fund Raising and/or Fund Distribution (Medical Research),Yes,2020.0,5178402.0,1739837.0,3438565.0
THE WRIGHT CENTER FOR GRADUATE MEDICAL EDUCATION,23-2007832,"Medical Disciplines (G95Z) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,32534041.0,33000990.0,
TRUENORTH WELLNESS SERVICES,23-2007907,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,21636010.0,20394560.0,1241450.0
SOUDERTON COMMUNITY AMBULANCE ASSOCIATION INC,23-2009995,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,868543.0,862952.0,5591.0
HEDWIG HOUSE INC,23-2010639,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,873283.0,1456657.0,
GROWTH OPPORTUNITY CENTER INC,23-2020828,"Patient Services - Entertainment, Recreation (Health — General and Rehabilitative)",Yes,2020.0,4075416.0,3892019.0,183397.0
MONELL CHEMICAL SENSES CENTER,23-2020897,Medical Specialty Research (Medical Research),Yes,2020.0,12478683.0,13332408.0,
